article_url,contact_topic
https://help.teacherspayteachers.com/hc/en-us/articles/360042977971-A-product-on-TPT-violates-my-copyright-What-should-I-do,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/360042909191-A-school-district-wants-to-make-a-large-purchase-but-needs-me-to-sign-a-Sole-Source-Affidavit-first-What-is-it,school-purchase-orders
https://help.teacherspayteachers.com/hc/en-us/articles/360041258431-What-is-TPT,other
https://help.teacherspayteachers.com/hc/en-us/articles/360055790351-Are-my-contributions-tax-deductible,other
https://help.teacherspayteachers.com/hc/en-us/articles/360055373972-Are-there-any-requirements-for-creating-a-TPT-ClassFund,other
https://help.teacherspayteachers.com/hc/en-us/articles/360042197172-Are-there-resources-on-TPT-to-help-me,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/16350244814868-As-a-Seller-how-do-I-set-an-away-status,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/4412840010388-As-a-Virtual-Assistant-how-can-I-download-resources-from-a-store-I-m-working-with,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/5327250728724-As-a-Virtual-Assistant-how-do-I-add-UTM-codes-to-track-traffic-for-my-client-Seller,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/360058777111-Can-I-apply-a-gift-card-to-my-account-balance,orders-and-refunds
https://help.teacherspayteachers.com/hc/en-us/articles/4412839590676-Can-I-become-a-Virtual-Assistant-to-multiple-Sellers-with-my-one-TPT-account,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/360043056191-Can-I-change-my-username,login-and-access
https://help.teacherspayteachers.com/hc/en-us/articles/360042934711-Can-I-change-the-email-address-associated-with-my-account,login-and-access
https://help.teacherspayteachers.com/hc/en-us/articles/360042885411-Can-I-change-the-multiple-license-price-of-my-products-from-the-default-of-10-off,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/360042974371-Can-I-contact-a-Seller-outside-of-TPT,other
https://help.teacherspayteachers.com/hc/en-us/articles/360042472512-Can-I-contact-my-Buyers-outside-of-TPT,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/360055374112-Can-I-create-multiple-TPT-ClassFund-Campaigns,other
https://help.teacherspayteachers.com/hc/en-us/articles/360042672871-Can-I-film-others-including-students-in-my-video,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/360059200711-Can-I-get-a-receipt-in-my-native-currency,orders-and-refunds
https://help.teacherspayteachers.com/hc/en-us/articles/4412826541844-Can-I-invite-multiple-Virtual-Assistants-to-help-with-my-store,seller-questions
https://help.teacherspayteachers.com/hc/en-us/articles/360042536992-Can-I-let-another-teacher-use-one-of-my-purchases,orders-and-refunds
https://help.teacherspayteachers.com/hc/en-us/articles/360043055611-Can-I-manage-the-emails-I-receive-from-TPT,login-and-access
https://help.teacherspayteachers.com/hc/en-us/articles/360042198892-Can-I-offer-a-growing-bundle-or-progressive-bundle,seller-questions
